15 000, 16 999, 2 000, 0, 5 300
17 000, 18 999, 7 400, 4 700, 12 100
19 000, 20 999, 17 700, 14 400, 32 100
21 000, 22 999, 21 900, 14 500, 36 400
23 000, 24 999, 33 800, 16 600, 50 300
25 000, 26 999, 51 200, 32 300, 83 500
27 000, 28 999, 56 600, 37 700, 94 400
29 000, 30 999, 59 500, 46 800, 106 300
31 000, 32 999, 44 000, 44 900, 88 800
33 000, 34 999, 39 000, 45 500, 84 500
35 000, 36 999, 39 900, 57 300, 97 200
37 000, 38 999, 28 500, 42 600, 71 200
39 000, 40 999, 26 500, 40 900, 67 400
41 000, 42 999, 17 300, 35 800, 53 100
43 000, 44 999, 15 200, 32 300, 47 500
45 000, 46 999, 14 400, 29 700, 44 200
47 000, 48 999, 10 300, 24 900, 35 100
49 000, 50 999, 10 000, 24 900, 34 900
51 000, 52 999, 7 200, 17 700, 24 900
53 000, 54 999, 6 100, 14 800, 20 900
55 000, 56 999, 5 200, 13 800, 19 000
57 000, 58 999, 4 400, 11 600, 16 100
59 000, 60 999, 4 000, 10 800, 14 800
61 000, 62 999, 2 900, 8 900, 11 800
63 000, 99 999,  23 600, 73 500,  97 100
